# Constructed from biom file
#OTU ID	515rcbc32	515rcbc25	515rcbc16	515rcbc34	515rcbc29	515rcbc11	515rcbc31	515rcbc33	515rcbc10	515rcbc9	515rcbc8	515rcbc12	515rcbc27	515rcbc19	515rcbc30	515rcbc23	515rcbc22	515rcbc28	515rcbc37	515rcbc17	515rcbc14	515rcbc35	515rcbc18	515rcbc13	515rcbc36	515rcbc15	515rcbc24	515rcbc21	515rcbc26	515rcbc20
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine Group II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__uncultured euryarchaeote	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales	0.0133333333333	0.01	0.0283333333333	0.0383333333333	0.0233333333333	0.00833333333333	0.01	0.0233333333333	0.015	0.065	0.00333333333333	0.0	0.0183333333333	0.025	0.0583333333333	0.0266666666667	0.015	0.0633333333333	0.0233333333333	0.0383333333333	0.0416666666667	0.0316666666667	0.03	0.0333333333333	0.00833333333333	0.035	0.0566666666667	0.0183333333333	0.0616666666667	0.02
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosotaleales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__AT-s3-28;D_3__uncultured bacterium	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales	0.0266666666667	0.045	0.02	0.0	0.0	0.01	0.015	0.00666666666667	0.00333333333333	0.0	0.0566666666667	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales	0.02	0.0316666666667	0.00833333333333	0.00333333333333	0.00333333333333	0.00666666666667	0.00333333333333	0.005	0.00833333333333	0.00166666666667	0.015	0.00833333333333	0.00166666666667	0.00166666666667	0.0	0.00333333333333	0.00166666666667	0.005	0.00833333333333	0.0	0.00333333333333	0.0	0.00166666666667	0.00333333333333	0.00333333333333	0.00333333333333	0.00166666666667	0.005	0.00166666666667	0.005
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 13	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.00833333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2	0.00333333333333	0.015	0.0	0.0	0.0	0.00166666666667	0.00333333333333	0.0	0.005	0.0	0.0366666666667	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__11-24	0.00333333333333	0.0	0.00666666666667	0.01	0.01	0.0	0.00666666666667	0.005	0.0116666666667	0.00666666666667	0.0	0.00833333333333	0.0116666666667	0.00666666666667	0.00166666666667	0.00166666666667	0.02	0.0166666666667	0.00166666666667	0.0133333333333	0.01	0.0416666666667	0.0133333333333	0.0133333333333	0.0	0.00833333333333	0.01	0.0133333333333	0.0116666666667	0.00833333333333
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales	0.0183333333333	0.025	0.0116666666667	0.01	0.015	0.0116666666667	0.0166666666667	0.0116666666667	0.01	0.0166666666667	0.005	0.0333333333333	0.015	0.0133333333333	0.0183333333333	0.0316666666667	0.025	0.0133333333333	0.025	0.01	0.00833333333333	0.00833333333333	0.0116666666667	0.01	0.00166666666667	0.01	0.0183333333333	0.0116666666667	0.0216666666667	0.0116666666667
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__DS-100	0.00166666666667	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.00166666666667	0.00166666666667	0.0	0.0	0.0	0.0	0.00166666666667	0.00333333333333	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Pyrinomonadales	0.00833333333333	0.015	0.02	0.0166666666667	0.00666666666667	0.0116666666667	0.02	0.0133333333333	0.0166666666667	0.045	0.0116666666667	0.00666666666667	0.00166666666667	0.0183333333333	0.0133333333333	0.015	0.005	0.0133333333333	0.00666666666667	0.00166666666667	0.015	0.07	0.02	0.0116666666667	0.005	0.00833333333333	0.015	0.015	0.00666666666667	0.00666666666667
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 7	0.00166666666667	0.00166666666667	0.00166666666667	0.00166666666667	0.00333333333333	0.00333333333333	0.00166666666667	0.00166666666667	0.00166666666667	0.005	0.005	0.00166666666667	0.00333333333333	0.00166666666667	0.00666666666667	0.00333333333333	0.00666666666667	0.00166666666667	0.00833333333333	0.00333333333333	0.00666666666667	0.00166666666667	0.00333333333333	0.005	0.0	0.00333333333333	0.00166666666667	0.00666666666667	0.00333333333333	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 11;Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 11;D_3__uncultured Acidobacteria bacterium	0.0	0.0	0.00166666666667	0.0183333333333	0.00666666666667	0.0	0.00166666666667	0.00166666666667	0.00333333333333	0.005	0.0	0.00166666666667	0.00333333333333	0.00333333333333	0.00666666666667	0.00333333333333	0.00333333333333	0.00166666666667	0.00166666666667	0.00166666666667	0.00333333333333	0.00166666666667	0.00333333333333	0.00166666666667	0.0	0.0	0.0	0.00333333333333	0.02	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 15;D_3__uncultured bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00333333333333	0.0	0.0	0.0	0.00666666666667	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17;Ambiguous_taxa	0.005	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.00166666666667	0.00833333333333	0.00166666666667	0.0	0.0	0.00333333333333	0.00333333333333	0.00166666666667	0.0	0.00333333333333	0.00166666666667	0.005	0.0	0.0	0.0	0.005	0.00166666666667	0.00333333333333	0.0	0.005
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17;D_3__uncultured Acidobacteria bacterium	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.00333333333333	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17;D_3__uncultured bacterium	0.00166666666667	0.0	0.0	0.00666666666667	0.00333333333333	0.0	0.0	0.00333333333333	0.00166666666667	0.00166666666667	0.00166666666667	0.00166666666667	0.005	0.0	0.00166666666667	0.0	0.00333333333333	0.005	0.0	0.005	0.0	0.0	0.00333333333333	0.00666666666667	0.0	0.00833333333333	0.00666666666667	0.00333333333333	0.00166666666667	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 18;Ambiguous_taxa	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.00166666666667	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00333333333333	0.00833333333333	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 20;D_3__uncultured bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22;Ambiguous_taxa	0.0	0.0	0.0	0.005	0.0	0.00166666666667	0.0	0.00333333333333	0.0	0.0	0.0	0.00166666666667	0.00166666666667	0.0	0.00166666666667	0.0	0.00833333333333	0.00166666666667	0.00333333333333	0.0	0.00333333333333	0.0	0.00666666666667	0.00333333333333	0.0	0.0116666666667	0.00166666666667	0.0133333333333	0.00666666666667	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22;D_3__uncultured Acidobacteria bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22;D_3__uncultured bacterium	0.0	0.00166666666667	0.00333333333333	0.0116666666667	0.005	0.00166666666667	0.0	0.0	0.00666666666667	0.0	0.0	0.00333333333333	0.00333333333333	0.00166666666667	0.005	0.00166666666667	0.00833333333333	0.005	0.0	0.00333333333333	0.00333333333333	0.00166666666667	0.0133333333333	0.005	0.0	0.005	0.00833333333333	0.025	0.00833333333333	0.00333333333333
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 25;Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 25;D_3__uncultured Acidobacteria bacterium	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 25;D_3__uncultured bacterium	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.00166666666667	0.00166666666667	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.00166666666667	0.00166666666667	0.0	0.00166666666667	0.0	0.0	0.005	0.00166666666667	0.0	0.005	0.00166666666667	0.00166666666667	0.00166666666667	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5;Ambiguous_taxa	0.00166666666667	0.0	0.00333333333333	0.00166666666667	0.0	0.00166666666667	0.00333333333333	0.00333333333333	0.01	0.00833333333333	0.00166666666667	0.00333333333333	0.00333333333333	0.00833333333333	0.00166666666667	0.0133333333333	0.00333333333333	0.00666666666667	0.00833333333333	0.00333333333333	0.01	0.00166666666667	0.005	0.00833333333333	0.0	0.005	0.00166666666667	0.00666666666667	0.00166666666667	0.00166666666667
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5;D_3__metagenome	0.00333333333333	0.00333333333333	0.0	0.00166666666667	0.0	0.00333333333333	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.00333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5;D_3__uncultured Acidobacteria bacterium	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
